#root,dhatu,gana,meanings
cax1,caxez,BvAxiH,yAcane
#can1,canaz,BvAxiH,MISSING
can2,canaz,curAxiH,SraxXopakaraNayoH
canx1,caxiz,BvAxiH,AhlAxe xIpwO ca
cap1,capaz,BvAxiH,sAnwvane
#cap2,capaz,curAxiH,MISSING
cam1,camuz,BvAxiH,MISSING
cam2,camaz,BvAxiH,MISSING
cam3,camuz,svAxiH,BakRaNe
camp1,capiz,curAxiH,gawyAm
cay1,cayaz,BvAxiH,gawO
car1,caraz,BvAxiH,gawyarWaH
car2,caraz,curAxiH,saMSaye
carc1,carcaz,BvAxiH,pariBARaNahiMsAwarjaneRu
carc2,carcaz,wuxAxiH,pariBARaNaBarwsanayoH
carc3,carcaz,curAxiH,aXyayane
carb1,carbaz,BvAxiH,gawO
carv1,carvaz,BvAxiH,axane
#cala1,caliH,BvAxiH,kampane
cal1,calaz,BvAxiH,kampane
cal2,calaz,wuxAxiH,vilasane
cal3,calaz,curAxiH,BqwO
caR1,caRaz,BvAxiH,BakRaNe
caha1,caha,curAxiH,parikalkane
cah1,cahaz,BvAxiH,parikalkane
cah2,cahaz,curAxiH,parikalkane
cAy1,cAyqz,BvAxiH,pUjAniSAmanayoH
ci1,ciF,svAxiH,cayane
ci2,ciF,curAxiH,cayane
ci3,ci,curAxiH,BARArWaH
cit1,citaz,BvAxiH,parapreRye
ciw1,ciwIz,BvAxiH,saMjFAne
ciw2,ciwaz,curAxiH,saMcewane
ciwra1,ciwra,curAxiH,ciwrIkaraNe
cinw1,ciwiz,curAxiH,smqwyAm
ciri1,ciri,svAxiH,hiMsAyAm
cil1,cilaz,wuxAxiH,vasane
cill1,cillaz,BvAxiH,SEWilye BAvakaraNe ca
cIk1,cIkaz,curAxiH,AmarRaNe
cIB1,cIBqz,BvAxiH,Sabxe
cIv1,cIvqz,BvAxiH,AxAnasaMvaraNayoH
cIv2,cIvaz,curAxiH,BARArWaH
cukk1,cukkaz,curAxiH,vyaWane
cucy1,cucyaz,BvAxiH,iwyeke
cut1,cutaz,wuxAxiH,Cexane
cut2,cutaz,curAxiH,Cexane
cutt1,cuttaz,curAxiH,alpIBAve
cud1,cudaz,wuxAxiH,samvaraNe
cudd1,cuddaz,BvAxiH,BAvakaraNe
cuNt1,cutiz,curAxiH,Cexane
cuNd1,cudiz,BvAxiH,alpIBAve
cux1,cuxaz,curAxiH,saMcoxane
cup1,cupaz,BvAxiH,manxAyAM gawO
cumb1,cubiz,BvAxiH,vakwrasaMyoge
